"","X1","X2","word","col","term_count","doc_count","count","avg_sentiment","sum_sentiment","sd_sentiment"
"73",1.10488977730644,-2.17495920194442,"cool","#FF007BFF",31,24,12,0.30885634982834,3.70627619794008,0.280644269168047
"74",-1.90983153538357,1.07026303156349,"part","#FF007AFF",31,30,53,0.238022342288326,12.6151841412813,0.220801210961016
"75",-1.27161023364558,1.26604720424069,"looking","#FF0079FF",31,29,34,0.344766756486497,11.7220697205409,0.284421394947158
"76",-2.63666030828534,-1.13340583630346,"whole","#FF0078FF",31,25,38,0.217315183024607,8.25797695493507,0.197828186787266
"77",-2.690919098916,-1.60920566345751,"watched","#FF0077FF",31,31,71,0.230799170803298,16.3867411270342,0.174047852473762
"78",-3.30592802512646,-2.21548175159804,"buy","#FF0076FF",31,27,44,0.223882610341692,9.85083485503445,0.167208577305765
"80",-2.08715051541733,-1.47574561523795,"version","#FF0074FF",32,27,52,0.208918843969967,10.8637798864383,0.156090272277907
"81",-4.40943263426496,0.0724865165346299,"comics","#FF0073FF",32,26,39,0.239173378549171,9.32776176341765,0.173434226354605
"82",-3.80431442499657,-0.472126469761618,"terrible","#FF0072FF",32,27,5,0.121315420066371,0.606577100331854,0.174513797179144
"83",-2.27587107116518,-1.01839966959601,"going","#FF0071FF",32,27,41,0.220542778903209,9.04225393503156,0.236715918698282
"84",-2.80220479725043,-0.564659210463878,"right","#FF0070FF",32,27,64,0.254916519174273,16.3146572271535,0.230049412474495
"85",-3.43783724752908,-1.2090076614271,"actually","#FF006FFF",32,27,37,0.246358602420992,9.11526828957671,0.194534256089435
"86",3.92801172339631,-1.40242604422072,"enough","#FF006EFF",32,27,37,0.188209698318623,6.96375883778904,0.203980958914312
"87",-4.2890350728166,1.29399673611773,"batman","#FF006DFF",32,24,42,0.24614755090768,10.3381971381225,0.180914607434342
"88",-3.2643428454102,-0.159236765606089,"star","#FF006DFF",33,28,32,0.241676440960844,7.73364611074702,0.207999588827624
"89",-3.32651790297912,-0.745966400505775,"long","#FF006CFF",33,29,42,0.183567874695188,7.70985073719788,0.174600497710019
"90",-3.63490385562478,-2.38097695636637,"liked","#FF006BFF",33,30,75,0.263020000004195,19.7265000003146,0.216083047319801
"91",-3.6787326946721,-0.918063421153427,"super","#FF006AFF",33,25,144,0.376581059531264,54.227672572502,0.255540345686306
"92",-2.53185071095934,-1.51022158337178,"felt","#FF0069FF",34,26,36,0.145980547489946,5.25529970963805,0.173391664000275
"93",-3.26752450721613,-2.5899648205233,"cant","#FF0068FF",35,32,2,-0.0871654166299688,-0.174330833259938,0.155141808704143
"94",-1.75902905024777,1.33106495837077,"now","#FF0067FF",35,30,62,0.212093586588011,13.1498023684567,0.189194254447444
"95",2.83763076151812,-3.39452541821518,"heard","#FF0066FF",35,33,14,0.125338198350625,1.75473477690875,0.144471908308654
"96",-2.78332493848409,-1.02335068149814,"however","#FF0065FF",35,33,22,0.158246466929504,3.48142227244909,0.153160109840057
"98",-2.48655524047935,0.405236453523315,"water","#FF0063FF",36,21,2,0.101257721790265,0.202515443580529,0.215652232474939
"99",-2.08324120548115,-0.61723687686835,"done","#FF0062FF",36,31,85,0.367963838226461,31.2769262492491,0.298836632818677
"100",-1.45932741788516,-0.691579436918339,"another","#FF0061FF",36,33,23,0.261605323393407,6.01692243804836,0.228650650243134
"101",-2.59131894367327,-0.959570435652265,"screen","#FF0060FF",36,29,30,0.25472618713052,7.64178561391559,0.191425625526618
"102",-2.63791345562531,0.214355441534464,"take","#FF005FFF",36,29,26,0.191306701719352,4.97397424470314,0.129167711074223
"103",-3.41143926894194,-2.78301262785572,"say","#FF005EFF",37,28,52,0.190279219872947,9.89451943339324,0.197008496038501
"104",-2.44750814418493,0.379798608110082,"justice","#FF005DFF",37,26,43,0.182517148648455,7.84823739188357,0.138931932834997
"107",-3.04724844832636,-0.0289249242304591,"far","#FF005BFF",38,36,39,0.198365779056497,7.73626538320339,0.204677991911824
"109",-2.73478621802199,0.487634872900639,"league","#FF0059FF",38,27,25,0.167195547066832,4.1798886766708,0.127391093940933
